task_id,event_summary,first_public_at,evidence_url,content_sha256,evidence_rationale,manual_review_eligible,direction_link,reviewer
B-EARN-00001,公司发布2024年第三季度财报，营收同比增长28%，净利润42亿元，显著高于市场一致预期。,2025-01-21T07:00:00Z,https://static.cninfo.com.cn/finalpage/2025-01-21/1222389705.PDF,583b3a784bb7255a4a6563dd3781d776944d0d4006fe4ea9303cc3403d1b3e03,Evidence URL contains a later publication date than seed release timestamp; first_public_at is pinned to the earliest date visible in the first-party URL path.,是,observed up excess return available from 2025-01-16 close,DeepFinEval audit
B-EARN-00002,公司披露年报，白酒销量略低于市场预期，直营渠道增速放缓。,2025-04-03T07:00:00Z,https://static.cninfo.com.cn/finalpage/2025-04-03/1222993920.PDF,5299f4940e2ce4e91084b73dc457d558b9d335fa76fbfee6227e4254eb7f4a30,Evidence URL contains a later publication date than seed release timestamp; first_public_at is pinned to the earliest date visible in the first-party URL path.,是,observed down excess return available from 2025-03-31 close,DeepFinEval audit
B-EARN-00003,一季报显示净利率同比提升，费用率下降，业绩好于一致预期。,2025-04-26T07:00:00Z,https://static.cninfo.com.cn/finalpage/2025-04-26/1223311527.PDF,b737191a758994a35e9442d46847de771fe48b758feb9a7f35601def922435e7,Evidence URL contains a later publication date than seed release timestamp; first_public_at is pinned to the earliest date visible in the first-party URL path.,是,observed up excess return available from 2025-04-23 close,DeepFinEval audit
B-EARN-00004,中报显示寿险新业务价值低于预期，投资收益承压。,2025-08-20T07:00:00Z,https://static.cninfo.com.cn/finalpage/2025-08-20/1224519435.PDF,b4cfb0c3decb2046dd879cafc8e01e4d3e92498245fa1254ea5565ef145d6d46,Missing official event evidence.,是,observed down excess return available from 2025-08-21 close,DeepFinEval audit
B-EARN-00005,三季报新能源汽车销量与毛利率双双超预期，海外收入占比提升。,2025-10-31T07:00:00Z,https://static.cninfo.com.cn/finalpage/2025-10-31/1224776127.PDF,f811d53ccf948c7119c90f423b08a6f8dd8a24b738ab063f612ab17d66725593,Evidence URL contains a later publication date than seed release timestamp; first_public_at is pinned to the earliest date visible in the first-party URL path.,是,observed up excess return available from 2025-10-31 close,DeepFinEval audit
B-EARN-CN_A-20231019-300750,宁德时代（300750）发布财报，EPS 实际 2.14，一致预期 2.64，surprise -18.77%。,2023-10-20T07:00:00Z,https://static.cninfo.com.cn/finalpage/2023-10-20/1218095874.PDF,7681bd022913880699d1c58c404ae8c5a526f891f4275851b09b5da19f82cad3,Evidence URL contains a later publication date than seed release timestamp; first_public_at is pinned to the earliest date visible in the first-party URL path.,是,observed down excess return available from 2023-10-20 close,DeepFinEval audit
B-EARN-CN_A-20231020-600519,贵州茅台（600519）发布财报，EPS 实际 13.42，一致预期 13.67，surprise -1.83%。,2023-10-21T07:00:00Z,https://static.cninfo.com.cn/finalpage/2023-10-21/1218110141.PDF,cd3dfa7c07f692a2173639acd08e2153ba80a4e9070a5e189fcf16831050a7d3,Evidence URL contains a later publication date than seed release timestamp; first_public_at is pinned to the earliest date visible in the first-party URL path.,是,observed up excess return available from 2023-10-23 close,DeepFinEval audit
B-EARN-CN_A-20231025-600276,恒瑞医药（600276）发布财报，EPS 实际 0.19，一致预期 0.21，surprise -7.32%。,2023-10-26T07:00:00Z,https://static.cninfo.com.cn/finalpage/2023-10-26/1218148216.PDF,885adb47f8c608b766e950d4a1b3a1a097ca4777c08581aba9bd8a8ab55afdf4,Evidence URL contains a later publication date than seed release timestamp; first_public_at is pinned to the earliest date visible in the first-party URL path.,是,observed up excess return available from 2023-10-26 close,DeepFinEval audit
B-EARN-CN_A-20231027-000858,五粮液（000858）发布财报，EPS 实际 1.5，一致预期 1.41，surprise 6.38%。,2023-10-28T07:00:00Z,https://static.cninfo.com.cn/finalpage/2023-10-28/1218182838.PDF,cb48e5c3588062309e966f6e7df840587f18e9561d916b798ab5067ac544a29e,Evidence URL contains a later publication date than seed release timestamp; first_public_at is pinned to the earliest date visible in the first-party URL path.,是,observed up excess return available from 2023-10-30 close,DeepFinEval audit
B-EARN-CN_A-20231028-601318,中国平安（601318）发布财报，EPS 实际 0.88，一致预期 1.38，surprise -36.23%。,2023-10-28T07:00:00Z,https://static.cninfo.com.cn/finalpage/2023-10-28/1218186509.PDF,2a48dc04bf93c559cd2fdab6f955fedea32bc58a267bc3b18153f2740f6a6be8,Missing official event evidence.,是,observed up excess return available from 2023-10-30 close,DeepFinEval audit
B-EARN-CN_A-20231028-601398,工商银行（601398）发布财报，EPS 实际 0.28，一致预期 0.27，surprise 3.70%。,2023-10-28T07:00:00Z,https://static.cninfo.com.cn/finalpage/2023-10-28/1218190968.PDF,5191da3252084421b0396ed795997d8b1ba223712e1d0349eb2db3bb9c6f155a,Missing official event evidence.,是,observed down excess return available from 2023-10-30 close,DeepFinEval audit
B-EARN-CN_A-20231030-000333,美的集团（000333）发布财报，EPS 实际 1.39，一致预期 1.38，surprise 0.43%。,2023-10-31T07:00:00Z,https://static.cninfo.com.cn/finalpage/2023-10-31/1218202543.PDF,9910e4fbd94e54710da10432ca691bfd79b2fb824b723604a4d563ea8232a341,Evidence URL contains a later publication date than seed release timestamp; first_public_at is pinned to the earliest date visible in the first-party URL path.,是,observed down excess return available from 2023-10-31 close,DeepFinEval audit
B-EARN-CN_A-20231030-002594,比亚迪（002594）发布财报，EPS 实际 1.11，一致预期 0.86，surprise 28.65%。,2023-10-31T07:00:00Z,https://static.cninfo.com.cn/finalpage/2023-10-31/1218200103.PDF,61f893148a6de41d46058ff296a1aa56b733cad49633a001e207d5da2ee55cda,Evidence URL contains a later publication date than seed release timestamp; first_public_at is pinned to the earliest date visible in the first-party URL path.,是,observed down excess return available from 2023-10-31 close,DeepFinEval audit
